Entity,Code,Year,poultry,beef and buffalo,sheep and goat,pig,Other,Fish and seafood,meat_total,air_passengers_2021,co2_total_2023,co2_per_capita_2023,geo_id,geo_name
Afghanistan,AFG,2022.0,0.8817912,2.0169706,3.6690621,0.0101355305,0.28379488,0.3952857,7.260000000000001,293213.0,11020218.0,0.26583755,4,Afghanistan
Africa,NAN,2022.0,7.0646057,5.0010457,2.2811437,1.7000556,1.370004,8.825201,26.24,,1418739200.0,0.9592574,,
Africa (FAO),NAN,2022.0,7.17,05.07,2.31,1.72,1.39,8.92,26.58,,,,,
Albania,ALB,2022.0,22.677748,15.269281,8.916296,6.342934,0.27140924,8.554417,62.030000000000015,193259.0,5144279.0,1.8296527,8,Albania
Algeria,DZA,2022.0,6.0526133,3.4163198,8.007616,0.0,0.34558147,2.7942731,20.62,1949936.0,178132770.0,3.8586802,12,Algeria
Americas (FAO),NAN,2022.0,44.12,27.54,0.69,20.23,0.63,14.56,107.77,,,,,
Angola,AGO,2022.0,10.506422,3.5054696,0.7190707,8.2793,0.2696515,12.863376,36.15,311488.0,20780540.0,0.56545913,24,Angola
Argentina,ARG,2022.0,48.29873,46.053677,0.99223375,16.988245,1.1826624,7.136065,120.65,6708097.0,195805970.0,4.2998033,32,Argentina
Armenia,ARM,2022.0,17.80726,24.862602,3.744833,10.964253,0.038606524,4.97059,62.38,179200.0,7608323.0,2.584923,51,Armenia
Asia,NAN,2022.0,12.467553,5.9811378,2.2252655,16.050463,0.4034785,24.560802,61.69,,22600220000.0,4.7313886,,
Asia (FAO),NAN,2022.0,12.49,5.99,2.23,15.14,0.43,24.63,60.91,,,,,
Australia,AUS,2022.0,49.045937,25.966671,9.711275,26.576124,0.93915623,24.468018,136.71999999999997,24572956.0,382972000.0,14.478505,36,Australia
Austria,AUT,2022.0,18.876034,14.280302,0.98620874,42.229458,0.5128285,14.230992,91.12,18901048.0,58578050.0,6.415725,40,Austria
Azerbaijan,AZE,2022.0,16.157986,15.121702,8.652472,0.81494206,0.0,2.1429958,42.88,1102455.0,43936972.0,4.2582173,31,Azerbaijan
Bahamas,BHS,2022.0,65.25775,11.438415,2.8776534,31.396334,0.50539434,27.817316,139.31,1065149.1,2505352.0,6.272632,44,Bahamas
Bangladesh,BGD,2022.0,1.6776553,1.273401,1.3340392,0.010106358,0.10106358,25.97334,30.36,3750753.0,113426860.0,0.6615086,50,Bangladesh
Belarus,BLR,2022.0,36.51541,23.522451,0.0935493,37.85628,0.19749297,12.379691,110.57,1040730.0,56490772.0,6.197136,112,Belarus
Belgium,BEL,2022.0,16.26978,12.945739,0.92111987,32.339317,2.0825317,24.069263,88.63,5404284.5,83368480.0,7.1177025,56,Belgium
Belize,BLZ,2022.0,30.524244,5.0018296,0.120768525,16.444649,0.20128088,17.300093,69.58,670361.8,667898.0,1.6247674,84,Belize
Benin,BEN,2022.0,10.374105,2.6687365,2.6105094,0.9801541,0.64049673,14.818766,32.09,,5592317.0,0.3963094,204,Benin
Bhutan,BTN,2022.0,4.8198066,7.314883,0.2505097,3.3367891,0.0,6.302824,22.02,22380.0,1713060.0,2.178551,64,Bhutan
Bolivia,BOL,2022.0,42.96673,22.449987,3.2389522,10.263431,1.8117889,2.1559277,82.89,4311879.5,23359406.0,1.9078085,68,Bolivia
Bosnia and Herzegovina,BIH,2022.0,22.015816,13.389087,0.37332043,13.177202,0.40358967,5.8217807,55.17999999999999,,20179128.0,6.3356104,70,Bosnia and Herz.
Botswana,BWA,2022.0,2.7598367,14.10104,1.9081683,0.35576022,12.430045,2.2531478,33.81,172017.0,6713559.0,2.7068784,72,Botswana
Brazil,BRA,2022.0,48.170204,35.413548,0.6552376,16.54475,0.3685712,8.210947,109.36,61896524.0,486470080.0,2.3040092,76,Brazil
